task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
responsive_vs_lor_all_phases,confounds_motion_propofol,62,147,26,0.3469387755102041,0.4162581699346405,0.3003482497497845,0.4898897058823529,0.4897959183673469,0.267019792518837,0.7328601799841864
responsive_vs_lor_all_phases,confounds_motion_propofol,63,147,26,0.3469387755102041,0.5406454248366013,0.3658204189277934,0.5131740196078431,0.54421768707483,0.2535548628326819,0.7024178917689672
responsive_vs_lor_all_phases,confounds_motion_propofol,64,147,26,0.3469387755102041,0.5034722222222222,0.35389029083096185,0.48774509803921573,0.5170068027210885,0.2554467785228638,0.705236950624447
responsive_vs_lor_all_phases,confounds_motion_propofol,65,147,26,0.3469387755102041,0.46772875816993464,0.31221231687415996,0.5220588235294118,0.4897959183673469,0.25970358778369995,0.7160272290886635
responsive_vs_lor_all_phases,confounds_motion_propofol,66,147,26,0.3469387755102041,0.3511029411764706,0.2729858149629032,0.430453431372549,0.4421768707482993,0.2600356053896114,0.7134571303278842
responsive_vs_lor_all_phases,confounds_motion_propofol,67,147,26,0.3469387755102041,0.5578022875816995,0.4218314522843692,0.5536151960784313,0.5850340136054422,0.24825460556450496,0.6926123577163592
responsive_vs_lor_all_phases,confounds_motion_propofol,68,147,26,0.3469387755102041,0.5298202614379085,0.35514430809194664,0.5428921568627451,0.5170068027210885,0.2530308449558874,0.6995095771173399
responsive_vs_lor_all_phases,confounds_motion_propofol,69,147,26,0.3469387755102041,0.5065359477124183,0.3423036006283857,0.5091911764705883,0.5510204081632653,0.25544905427950065,0.7051666788072007
responsive_vs_lor_all_phases,confounds_motion_propofol,70,147,26,0.3469387755102041,0.48897058823529405,0.3637879595364631,0.514093137254902,0.5034013605442177,0.25740705529591096,0.7085067187129249
responsive_vs_lor_all_phases,confounds_motion_propofol,71,147,26,0.3469387755102041,0.48897058823529405,0.39051718374868916,0.5266544117647058,0.5918367346938775,0.2519718645693986,0.7033998014791198
responsive_vs_lor_all_phases,confounds_motion_propofol,72,147,26,0.3469387755102041,0.45629084967320266,0.33872262967676076,0.48774509803921573,0.5170068027210885,0.2599287931423316,0.7172470483009484
responsive_vs_lor_all_phases,confounds_motion_propofol,73,147,26,0.3469387755102041,0.4248366013071896,0.3173885180262874,0.4963235294117647,0.5102040816326531,0.2591835708363907,0.7121739114958102
responsive_vs_lor_all_phases,confounds_motion_propofol,74,147,26,0.3469387755102041,0.505718954248366,0.37384039830193305,0.5477941176470589,0.5714285714285714,0.25417926513258016,0.7027726040476192
responsive_vs_lor_all_phases,confounds_motion_propofol,75,147,26,0.3469387755102041,0.43933823529411764,0.2997754218987646,0.4568014705882353,0.42857142857142855,0.2568780656764584,0.707084596722543
responsive_vs_lor_all_phases,confounds_motion_propofol,76,147,26,0.3469387755102041,0.42156862745098045,0.2971602102096985,0.44577205882352944,0.40816326530612246,0.25950233993695165,0.7124488874559785
responsive_vs_lor_all_phases,confounds_motion_propofol,77,147,26,0.3469387755102041,0.36417483660130723,0.2962848596079911,0.45618872549019607,0.5238095238095238,0.26477976161945127,0.7253351757950179
responsive_vs_lor_all_phases,confounds_motion_propofol,78,147,26,0.3469387755102041,0.4140114379084967,0.3377836054183788,0.4485294117647059,0.4897959183673469,0.2594896225511256,0.7132135839287435
responsive_vs_lor_all_phases,confounds_motion_propofol,79,147,26,0.3469387755102041,0.4675245098039216,0.3510141024094744,0.5052083333333334,0.5578231292517006,0.2564906237615825,0.7085138012456982
